cow_id,name,breed,age_years,parity,days_in_milk,baseline_yield_liters,milk_yield_liters,yield_drop_pct,ec_lf,ec_rf,ec_lh,ec_rh,max_ec,ec_variance,scc,body_temp_c,milk_ph,udder_swelling,kicking_behavior,subclinical_quarter,risk_level,financial_loss_inr,recommended_action,phytotherapy_recipe
COW-1010,Tulsi,Tharparkar,8.2,5,76,10.8,10.8,0.0,4.76,4.94,4.81,4.74,4.94,0.2,87270,38.5,6.46,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1011,Yamuna,Red Sindhi,7.6,2,171,12.4,10.8,12.8,4.92,4.81,6.71,4.87,6.71,1.9,333780,39.0,6.83,0,0,LH,MEDIUM,6125,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1012,Tulsi,HF Cross,2.9,1,28,24.9,24.8,0.4,4.69,4.56,4.53,4.77,4.77,0.24,125952,38.4,6.49,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1013,Sita,Rathi,5.8,4,220,11.1,11.1,0.0,4.74,4.75,4.83,4.81,4.83,0.09,113877,38.7,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1014,Gauri,Gir,2.9,6,185,18.8,18.3,2.4,4.63,4.51,4.52,4.6,4.63,0.12,141342,38.4,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1015,Kalyani,Gir,5.6,5,62,14.3,7.5,47.5,8.69,8.65,8.24,8.43,8.69,0.45,1560849,40.6,7.12,2,2,LF,HIGH,32710,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1016,Ganga,Tharparkar,2.5,4,147,15.6,13.5,13.6,5.05,5.06,6.27,4.98,6.27,1.29,298355,38.9,6.9,0,0,LH,MEDIUM,7791,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1017,Nandini,Gir,2.9,4,269,19.5,19.5,0.0,4.54,4.64,4.4,4.4,4.64,0.24,113228,38.5,6.51,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1018,Kalyani,Sahiwal,5.3,5,138,17.5,17.0,3.0,4.6,4.57,4.49,4.48,4.6,0.12,158438,38.8,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1019,Gauri,HF Cross,4.7,3,214,19.0,16.9,10.9,4.93,4.73,4.85,7.05,7.05,2.32,345314,38.6,6.85,0,1,RH,MEDIUM,5586,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1020,Devi,Murrah Buffalo,8.7,2,201,13.7,13.7,0.0,4.77,4.97,4.92,4.83,4.97,0.2,183831,38.5,6.67,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1021,Gauri,Red Sindhi,6.4,6,65,15.6,15.4,1.6,4.45,4.59,4.5,4.6,4.6,0.15,158766,38.5,6.56,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1022,Tulsi,Murrah Buffalo,3.9,6,147,15.0,14.4,3.7,4.91,5.09,5.14,4.91,5.14,0.23,60435,38.5,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1023,Nandini,Red Sindhi,3.4,3,94,14.4,14.0,2.9,4.61,4.63,4.87,4.88,4.88,0.27,111860,38.3,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1024,Yamuna,Gir,8.3,5,87,16.6,16.3,1.6,4.85,4.86,4.58,4.68,4.86,0.28,141506,38.4,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1025,Gauri,Sahiwal,7.2,3,220,19.8,17.0,14.0,5.28,7.07,5.25,4.99,7.07,2.08,387805,38.6,6.79,1,0,RF,MEDIUM,6946,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1026,Ganga,Red Sindhi,7.4,4,31,15.2,14.9,1.9,4.98,4.93,5.08,4.91,5.08,0.17,116276,38.2,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1027,Lakshmi,HF Cross,3.9,3,154,24.9,14.7,41.0,7.21,7.31,7.41,7.1,7.41,0.31,1201789,40.1,7.05,2,2,LH,HIGH,31425,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1028,Sita,Murrah Buffalo,2.8,5,234,14.1,12.7,10.0,5.01,4.97,5.03,6.91,6.91,1.94,290554,38.7,6.76,0,1,RH,MEDIUM,5883,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1029,Kamdhenu,HF Cross,8.9,5,172,23.3,22.9,1.8,5.04,5.09,4.99,5.1,5.1,0.11,124355,38.6,6.69,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1030,Yamuna,Sahiwal,3.8,6,206,18.1,5.9,67.5,7.58,7.84,7.52,7.46,7.84,0.38,1290142,40.2,7.05,2,2,Both Hind,HIGH,49368,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1031,Kapila,Tharparkar,7.2,5,254,14.8,4.6,68.6,6.59,6.85,6.92,6.74,6.92,0.33,1190720,40.2,7.6,2,1,Both Front,HIGH,47385,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1032,Meera,Red Sindhi,3.9,1,35,11.5,11.5,0.0,4.88,4.98,5.05,4.92,5.05,0.17,123267,38.6,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1033,Tulsi,Tharparkar,6.0,2,87,13.9,13.9,0.1,5.03,4.83,4.93,4.85,5.03,0.2,169998,38.7,6.63,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1034,Tulsi,Rathi,5.8,5,139,15.5,14.8,4.8,4.57,4.59,4.6,4.53,4.6,0.07,179097,38.2,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1035,Bhavani,Tharparkar,6.8,6,270,12.6,4.8,62.3,8.44,8.28,8.15,8.14,8.44,0.3,853312,40.0,7.26,2,2,RH,HIGH,43069,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1036,Radha,Tharparkar,3.0,3,132,11.6,11.6,0.0,4.72,4.74,4.88,4.89,4.89,0.17,112378,38.2,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1037,Kamdhenu,Tharparkar,5.4,5,250,12.5,12.5,0.3,4.87,4.78,4.81,4.86,4.87,0.09,146575,38.3,6.67,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1038,Bhavani,Rathi,5.2,1,192,11.8,11.6,1.8,5.14,5.05,5.11,5.12,5.14,0.09,118727,38.7,6.51,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1039,Devi,Sahiwal,5.9,3,235,16.9,16.6,1.9,4.99,4.97,5.0,5.03,5.03,0.06,175749,38.2,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1040,Sita,Rathi,2.7,4,25,10.5,10.3,2.3,4.92,4.95,4.97,5.01,5.01,0.09,157363,38.3,6.5,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1041,Nandini,Red Sindhi,8.7,3,227,11.5,11.4,0.5,4.52,4.66,4.47,4.56,4.66,0.19,140394,38.6,6.6,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1042,Bhavani,HF Cross,2.8,1,138,19.6,18.8,4.3,4.48,4.64,4.61,4.51,4.64,0.16,138128,38.6,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1043,Tulsi,Murrah Buffalo,7.9,2,70,16.7,16.7,0.0,4.71,4.82,4.71,4.81,4.82,0.11,146584,38.3,6.62,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1044,Surabhi,Tharparkar,9.1,2,50,13.6,11.0,19.4,4.83,6.93,4.78,4.64,6.93,2.29,375095,39.1,6.75,1,1,RF,MEDIUM,9644,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1045,Nandini,Gir,6.0,3,18,19.1,16.0,16.3,6.29,5.03,4.9,4.81,6.29,1.48,387436,38.9,6.89,1,1,LF,MEDIUM,8157,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1046,Surabhi,Red Sindhi,7.6,3,177,15.1,12.7,15.9,6.38,4.91,4.86,4.89,6.38,1.52,452775,38.7,6.76,1,0,LF,MEDIUM,8063,Subclinical warning in LF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1047,Meera,Murrah Buffalo,8.1,3,155,17.3,15.1,12.9,4.98,4.89,6.73,4.95,6.73,1.84,257733,38.6,6.81,1,1,LH,MEDIUM,6932,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1048,Bhavani,Gir,3.2,2,219,18.2,17.9,1.5,4.84,4.86,4.83,4.92,4.92,0.09,141940,38.6,6.63,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1049,Nandini,Murrah Buffalo,7.4,3,168,13.5,13.2,2.4,4.5,4.63,4.69,4.52,4.69,0.19,180873,38.4,6.7,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1050,Meera,HF Cross,5.9,6,280,22.8,13.3,41.6,7.01,6.97,7.22,6.87,7.22,0.35,899994,39.8,7.32,2,1,RF,HIGH,37866,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1051,Radha,HF Cross,9.1,6,263,18.8,18.5,1.4,4.66,4.62,4.81,4.6,4.81,0.21,122178,38.6,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1052,Kalyani,Tharparkar,3.3,1,217,13.0,12.6,2.8,4.81,5.01,5.05,4.79,5.05,0.26,100362,38.2,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1053,Meera,Gir,6.4,4,127,18.7,18.3,2.1,4.98,5.07,5.02,5.07,5.07,0.09,137493,38.3,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1054,Lakshmi,Rathi,9.2,1,118,13.8,13.8,0.0,4.47,4.56,4.45,4.52,4.56,0.11,99064,38.5,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1055,Tulsi,Rathi,5.8,1,130,11.7,11.3,3.1,4.89,4.94,4.95,5.1,5.1,0.21,142522,38.6,6.64,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1056,Sita,HF Cross,8.1,2,229,18.9,18.5,2.3,4.52,4.48,4.46,4.68,4.68,0.22,81781,38.3,6.61,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1057,Sita,HF Cross,8.3,3,236,19.0,16.4,13.9,5.17,5.17,5.05,6.8,6.8,1.75,356053,39.3,6.87,1,0,RH,MEDIUM,6552,Subclinical warning in RH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1058,Meera,HF Cross,8.4,5,22,26.0,20.3,22.0,5.07,4.89,6.47,4.97,6.47,1.58,399489,39.0,6.87,1,1,LH,MEDIUM,11184,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1059,Kamdhenu,Tharparkar,4.9,3,176,14.0,8.2,41.3,7.32,7.42,7.26,7.48,7.48,0.22,1089655,40.5,7.13,2,1,LH,HIGH,33803,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1060,Radha,Murrah Buffalo,3.3,4,275,16.9,16.1,5.0,5.01,4.89,5.03,5.06,5.06,0.17,121711,38.4,6.58,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1061,Kapila,HF Cross,5.6,1,116,20.1,19.9,0.8,4.79,4.67,4.53,4.71,4.79,0.26,64645,38.6,6.48,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1062,Bhavani,Sahiwal,7.5,3,19,17.3,17.2,0.4,5.22,5.08,4.98,5.19,5.22,0.24,168113,38.5,6.52,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1063,Kapila,HF Cross,4.5,6,151,21.3,21.0,1.6,4.77,4.68,4.69,4.81,4.81,0.13,153785,38.4,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1064,Tulsi,Sahiwal,8.5,3,224,16.0,14.1,11.8,5.05,5.05,6.8,5.26,6.8,1.75,274387,39.3,6.87,1,1,LH,MEDIUM,6310,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1065,Yamuna,Red Sindhi,6.3,4,176,15.2,5.4,64.7,7.48,7.81,7.37,7.79,7.81,0.44,600000,40.3,7.15,2,2,RF,HIGH,46675,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1066,Gauri,Red Sindhi,8.2,2,265,15.8,15.4,2.3,5.03,4.96,5.18,4.96,5.18,0.22,159835,38.3,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1067,Devi,Tharparkar,2.6,2,221,15.2,4.6,69.8,7.72,7.34,7.55,7.53,7.72,0.38,1503014,39.7,7.2,2,2,LF,HIGH,48088,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1068,Gauri,HF Cross,8.7,4,289,18.3,17.9,2.1,5.0,5.03,4.95,4.86,5.03,0.17,113376,38.4,6.69,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1069,Kamdhenu,Red Sindhi,6.9,1,239,11.0,10.7,3.0,4.46,4.38,4.47,4.5,4.5,0.12,85869,38.7,6.7,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1070,Meera,Rathi,5.4,6,104,11.0,11.0,0.4,5.06,4.94,5.15,4.92,5.15,0.23,76822,38.4,6.66,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1071,Kapila,HF Cross,4.3,3,16,25.2,24.8,1.4,4.69,4.54,4.81,4.82,4.82,0.28,145533,38.7,6.52,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1072,Radha,HF Cross,9.2,6,140,21.7,21.7,0.0,5.21,4.98,5.06,5.06,5.21,0.23,50000,38.3,6.56,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1073,Radha,HF Cross,4.6,6,214,20.2,19.9,1.7,4.98,4.78,4.94,4.91,4.98,0.2,187134,38.2,6.55,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1074,Devi,Murrah Buffalo,7.9,2,192,13.3,13.1,1.5,4.73,4.73,4.7,4.54,4.73,0.19,180444,38.2,6.65,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1075,Kamdhenu,HF Cross,7.0,3,237,18.3,18.2,0.6,4.7,4.53,4.55,4.49,4.7,0.21,95647,38.6,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1076,Bhavani,Rathi,8.6,3,283,13.0,12.7,2.5,4.72,4.73,4.74,4.54,4.74,0.2,132443,38.4,6.59,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1077,Kalyani,Murrah Buffalo,8.1,4,50,12.8,4.1,67.7,8.24,8.23,8.13,7.87,8.24,0.37,1755105,39.7,7.57,2,1,Both Front,HIGH,46182,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1078,Yamuna,Gir,5.7,6,146,17.5,15.3,12.7,4.67,4.61,6.87,4.77,6.87,2.26,210000,38.8,6.87,0,1,LH,MEDIUM,7807,Subclinical warning in LH quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1079,Tulsi,Murrah Buffalo,7.0,1,83,12.3,12.2,0.8,4.98,5.02,5.11,5.06,5.11,0.13,139834,38.4,6.57,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1080,Nandini,HF Cross,9.1,6,288,21.4,17.5,18.3,5.19,6.62,5.18,5.27,6.62,1.44,278744,39.0,6.85,0,1,RF,MEDIUM,8815,Subclinical warning in RF quarter. Apply ICAR herbal paste 3x daily for 5 days. Strip affected quarter completely.,ICAR Formulation: 250g Aloe Vera + 50g Pure Turmeric + 15g Edible Lime (Chuna) ground into paste.
COW-1081,Meera,Red Sindhi,5.0,6,200,13.3,7.6,43.2,6.49,6.9,6.89,6.82,6.9,0.41,957481,40.6,7.3,2,1,LH,HIGH,39383,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1082,Lakshmi,Gir,8.0,2,76,18.7,18.6,0.7,5.01,5.02,5.09,4.92,5.09,0.17,158450,38.6,6.53,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
COW-1083,Bhavani,Sahiwal,8.0,5,13,15.7,7.5,52.5,7.76,7.35,7.8,7.36,7.8,0.45,1461552,40.4,7.25,2,1,RF,HIGH,43897,Urgent: Acute clinical mastitis! Isolate animal immediately. Call government veterinary officer (1962). Administer prescribed veterinary therapy.,Immediate veterinary antibiotic injection + anti-inflammatory + frequent cold water fanning and stripping.
COW-1084,Nandini,Gir,3.7,1,76,18.5,18.1,2.3,4.94,5.03,4.95,4.83,5.03,0.2,134106,38.8,6.54,0,0,None,LOW,0,"Routine milking, clean dry udder cloth, post-milking dip (0.5% povidone iodine).",No medication needed. Maintain clean bedding and nutrition.
